Ecosystem,Namespace,Name,Version,Artifact,Published,Detected
npm,@antv,geo-coord,1.2.8,,2026-05-19T02:06:00.159Z,2026-05-19T02:12:40.764Z
npm,@antv,gi-sdk-app,1.4.10,,2026-05-19T02:06:00.420Z,2026-05-19T02:12:40.738Z
npm,@antv,g-plugin-box2d,2.3.1,,2026-05-19T02:05:59.902Z,2026-05-19T02:12:40.712Z
npm,@antv,g-plugin-gesture,2.3.1,,2026-05-19T02:06:00.098Z,2026-05-19T02:12:40.686Z
npm,@antv,translator,1.2.1,,2026-05-19T02:05:59.917Z,2026-05-19T02:12:40.684Z
npm,@antv,vis-predict-engine,0.3.1,,2026-05-19T02:06:01.090Z,2026-05-19T02:12:40.591Z
npm,@antv,f-vue,1.12.0,,2026-05-19T02:06:00.332Z,2026-05-19T02:12:40.540Z
npm,@antv,gi-assets-xlab,0.3.30,,2026-05-19T02:06:03.759Z,2026-05-19T02:12:40.527Z
npm,@antv,l7-map,2.27.10,,2026-05-19T02:06:03.930Z,2026-05-19T02:12:40.501Z
npm,,jest-less-loader,0.4.0,,2026-05-19T02:05:59.770Z,2026-05-19T02:12:40.398Z
npm,@antv,chart-linter,1.3.6,,2026-05-19T02:06:03.359Z,2026-05-19T02:12:40.230Z
npm,@antv,g-plugin-canvas-path-generator,2.3.26,,2026-05-19T02:06:01.185Z,2026-05-19T02:12:40.120Z
npm,@antv,x6-plugin-scroller,2.2.10,,2026-05-19T02:06:01.580Z,2026-05-19T02:12:40.117Z
npm,@antv,mcp-server-chart,0.11.10,,2026-05-19T02:06:00.229Z,2026-05-19T02:12:40.017Z
npm,,word-width,1.2.1,,2026-05-19T02:06:00.057Z,2026-05-19T02:12:40.001Z
npm,@antv,graphin-components,2.6.1,,2026-05-19T02:06:00.180Z,2026-05-19T02:12:39.983Z
npm,,uri-parse,1.2.0,,2026-05-19T02:06:00.239Z,2026-05-19T02:12:39.973Z
npm,@antv,x6-plugin-export,2.3.6,,2026-05-19T02:05:59.786Z,2026-05-19T02:12:39.870Z
npm,,ai-figure,0.6.0,,2026-05-19T02:06:00.421Z,2026-05-19T02:12:39.845Z
npm,@antv,knowledge,1.3.4,,2026-05-19T02:06:01.036Z,2026-05-19T02:12:39.841Z
npm,@antv,l7-pass,1.2.0,,2026-05-19T02:06:00.258Z,2026-05-19T02:12:39.839Z
npm,@antv,g-plugin-webgl-renderer,1.2.26,,2026-05-19T02:06:01.865Z,2026-05-19T02:12:39.794Z
npm,@antv,gl-matrix,2.9.1,,2026-05-19T02:06:00.363Z,2026-05-19T02:12:39.793Z
npm,@antv,g6-pc,0.10.25,,2026-05-19T02:06:03.803Z,2026-05-19T02:12:39.744Z
npm,@antv,g-webgpu-compiler,0.9.2,,2026-05-19T02:06:00.606Z,2026-05-19T02:12:39.713Z
npm,@antv,g6-wx,0.2.1,,2026-05-19T02:06:00.367Z,2026-05-19T02:12:39.708Z
npm,@antv,g-plugin-canvaskit-renderer,2.5.1,,2026-05-19T02:06:01.240Z,2026-05-19T02:12:39.706Z
npm,@antv,gi-public-data,1.2.1,,2026-05-19T02:06:01.368Z,2026-05-19T02:12:39.698Z
npm,@antv,g6-ssr,0.3.1,,2026-05-19T02:06:01.900Z,2026-05-19T02:12:39.667Z
npm,@antv,g-lottie-player,1.3.1,,2026-05-19T02:06:01.000Z,2026-05-19T02:12:39.642Z
npm,@antv,g6-alipay,0.2.1,,2026-05-19T02:05:59.697Z,2026-05-19T02:12:39.642Z
npm,@antv,g-dom-mutation-observer-api,2.2.42,,2026-05-19T02:05:59.665Z,2026-05-19T02:12:39.532Z
npm,@antv,g6-mobile,0.3.2,,2026-05-19T02:06:01.572Z,2026-05-19T02:12:39.522Z
npm,,mcp-mermaid,0.6.1,,2026-05-19T02:05:59.756Z,2026-05-19T02:12:39.514Z
npm,@antv,l7-source,2.27.10,,2026-05-19T02:06:04.475Z,2026-05-19T02:12:39.482Z
npm,@antv,g-webgpu-engine,0.9.2,,2026-05-19T02:06:00.571Z,2026-05-19T02:12:39.482Z
npm,@antv,dipper-hooks,0.4.1,,2026-05-19T02:06:00.907Z,2026-05-19T02:12:39.472Z
npm,,lint-md,0.4.0,,2026-05-19T02:06:01.025Z,2026-05-19T02:12:39.453Z
npm,@antv,matrix-util,3.2.4,,2026-05-19T02:05:59.774Z,2026-05-19T02:12:39.415Z
npm,@antv,g2-brush,0.2.2,,2026-05-19T02:06:03.432Z,2026-05-19T02:12:39.414Z
npm,@antv,data-wizard,2.2.4,,2026-05-19T02:06:00.538Z,2026-05-19T02:12:39.412Z
npm,@antv,f2-my,4.2.52,,2026-05-19T02:05:59.897Z,2026-05-19T02:12:39.344Z
npm,@antv,my-f2-pc,0.3.1,,2026-05-19T02:05:59.615Z,2026-05-19T02:12:39.325Z
npm,@antv,g-web-animations-api,2.3.32,,2026-05-19T02:06:01.356Z,2026-05-19T02:12:39.308Z
npm,@antv,f6-core,0.2.2,,2026-05-19T02:06:03.557Z,2026-05-19T02:12:39.306Z
npm,@antv,x6-plugin-clipboard,2.3.6,,2026-05-19T02:06:00.874Z,2026-05-19T02:12:39.271Z
npm,@antv,l7-scene,2.27.10,,2026-05-19T02:05:59.692Z,2026-05-19T02:12:39.260Z
npm,@antv,x6-react,0.3.26,,2026-05-19T02:05:59.626Z,2026-05-19T02:12:39.227Z
npm,@antv,g-gesture,3.2.42,,2026-05-19T02:06:00.030Z,2026-05-19T02:12:39.210Z
npm,@antv,webgpu-graph,1.2.0,,2026-05-19T02:06:00.219Z,2026-05-19T02:12:39.208Z
npm,@antv,g-webgl-compute,0.2.1,,2026-05-19T02:06:01.025Z,2026-05-19T02:12:39.208Z
npm,@antv,layout-gpu,1.3.7,,2026-05-19T02:06:00.731Z,2026-05-19T02:12:39.136Z
npm,@antv,github-config-cli,0.3.0,,2026-05-19T02:05:59.614Z,2026-05-19T02:12:39.107Z
npm,@antv,color-schema,0.4.3,,2026-05-19T02:06:00.063Z,2026-05-19T02:12:39.081Z
npm,@antv,l7-district,2.5.12,,2026-05-19T02:05:59.943Z,2026-05-19T02:12:39.075Z
npm,@antv,g-plugin-rough-svg-renderer,2.3.1,,2026-05-19T02:05:59.640Z,2026-05-19T02:12:39.007Z
npm,,mcp-echarts,0.9.1,,2026-05-19T02:06:01.105Z,2026-05-19T02:12:38.990Z
npm,@antv,gi-assets-neo4j,2.3.15,,2026-05-19T02:06:00.760Z,2026-05-19T02:12:38.971Z
npm,@antv,g-canvas,2.4.0,,2026-05-19T02:06:00.418Z,2026-05-19T02:12:38.953Z
npm,@antv,g-base,0.7.16,,2026-05-19T02:06:03.322Z,2026-05-19T02:12:38.937Z
npm,@antv,event-emitter,0.3.3,,2026-05-19T02:06:00.421Z,2026-05-19T02:12:38.936Z
npm,@antv,g6-extension-react,0.4.7,,2026-05-19T02:06:00.736Z,2026-05-19T02:12:38.935Z
npm,,lint-md-cli,0.3.2,,2026-05-19T02:06:00.174Z,2026-05-19T02:12:38.874Z
npm,@antv,g-mobile-webgl,1.3.1,,2026-05-19T02:06:00.649Z,2026-05-19T02:12:38.826Z
npm,@antv,dipper-map,1.2.10,,2026-05-19T02:06:02.271Z,2026-05-19T02:12:38.825Z
npm,@antv,async-hook,2.4.9,,2026-05-19T02:06:00.993Z,2026-05-19T02:12:38.814Z
npm,@antv,semantic-release-pnpm,1.2.4,,2026-05-19T02:06:00.024Z,2026-05-19T02:12:38.800Z
npm,@antv,g-canvaskit,1.3.1,,2026-05-19T02:06:00.142Z,2026-05-19T02:12:38.796Z
npm,,fixed-round,1.2.2,,2026-05-19T02:05:59.744Z,2026-05-19T02:12:38.743Z
npm,,jest-random-mock,1.2.0,,2026-05-19T02:05:59.661Z,2026-05-19T02:12:38.740Z
npm,@antv,l7-mini,2.22.8,,2026-05-19T02:06:00.021Z,2026-05-19T02:12:38.708Z
npm,@antv,f2-react,5.16.0,,2026-05-19T02:05:59.663Z,2026-05-19T02:12:38.665Z
npm,@antv,g-webgpu-raytracer,0.7.1,,2026-05-19T02:06:01.183Z,2026-05-19T02:12:38.532Z
npm,@antv,g6-cli,0.2.4,,2026-05-19T02:06:01.077Z,2026-05-19T02:12:38.531Z
npm,@antv,gpt-vis,1.2.0,,2026-05-19T02:06:01.394Z,2026-05-19T02:12:38.515Z
npm,,slice.js,1.3.1,,2026-05-19T02:05:59.670Z,2026-05-19T02:12:38.503Z
npm,@antv,l7-leaflet,1.2.2,,2026-05-19T02:06:01.218Z,2026-05-19T02:12:38.381Z
npm,@antv,f6,0.2.19,,2026-05-19T02:06:01.471Z,2026-05-19T02:12:38.379Z
npm,@antv,f-my,1.12.0,,2026-05-19T02:06:00.638Z,2026-05-19T02:12:38.349Z
npm,@antv,g6-plugin,0.10.25,,2026-05-19T02:06:00.388Z,2026-05-19T02:12:38.340Z
npm,@antv,graphin-graphscope,1.2.5,,2026-05-19T02:06:01.340Z,2026-05-19T02:12:38.334Z
npm,@antv,g-plugin-mobile-interaction,1.2.42,,2026-05-19T02:05:59.555Z,2026-05-19T02:12:38.302Z
